City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
209,Kosh-Agach,RU,50.0,88.6667,44.28,89,99,4.59,overcast clouds
210,Corralillo,CU,22.9819,-80.5856,86.11,69,7,19.48,clear sky
211,Kirakira,SB,-10.4544,161.9205,81.79,76,16,6.91,few clouds
212,New Milford,US,40.9327,-74.0179,83.98,91,75,1.01,light rain
213,Hirara,JP,24.8,125.2833,85.86,89,75,12.66,broken clouds
214,Port Blair,IN,11.6667,92.75,80.94,84,99,7.7,overcast clouds
215,Saint-Philippe,RE,-21.3585,55.7679,67.59,84,63,17.92,light rain
216,Sukumo,JP,32.9333,132.7333,80.33,94,100,10.04,overcast clouds
217,Impfondo,CG,1.6381,18.0667,71.62,91,99,1.3,overcast clouds
218,Tasiilaq,GL,65.6145,-37.6368,44.76,83,53,1.81,broken clouds
219,Ponta Do Sol,PT,32.6667,-17.1,73.0,81,12,3.24,few clouds
220,Ust-Ishim,RU,57.6935,71.1665,56.01,74,73,4.0,broken clouds
221,Puerto Narino,CO,-3.7703,-70.3831,78.37,93,12,2.19,few clouds
222,Tual,ID,-5.6667,132.75,79.54,81,34,19.51,scattered clouds
223,Kyshtovka,RU,56.555,76.6271,57.36,76,96,6.51,overcast clouds
224,New Kensington,US,40.5698,-79.7648,79.21,79,100,1.01,overcast clouds
225,Mount Gambier,AU,-37.8333,140.7667,35.51,93,75,0.0,fog
226,Aksu,CN,41.1231,80.2644,78.19,27,11,3.6,few clouds
227,Berlevag,NO,70.8578,29.0864,60.75,72,75,4.61,broken clouds
228,Port Hedland,AU,-20.3167,118.5667,55.45,88,3,5.75,clear sky
229,Tiruchchendur,IN,8.4833,78.1167,81.25,71,100,5.55,overcast clouds
230,Jiuquan,CN,39.7432,98.5174,64.71,39,2,3.15,clear sky
231,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,90,38,2.04,scattered clouds
232,Ilulissat,GL,69.2167,-51.1,50.02,66,20,3.44,few clouds
233,Wolsztyn,PL,52.1155,16.1171,69.93,48,98,5.5,overcast clouds
234,Paranhos,BR,-23.8928,-55.4311,65.44,72,31,7.23,scattered clouds
235,Sidney,AU,-33.8679,151.2073,48.7,70,40,14.97,light rain
236,Roura,GF,4.7263,-52.3274,80.96,88,75,1.14,broken clouds
237,Hovd,MN,48.0056,91.6419,54.97,83,75,2.46,broken clouds
238,Hami,CN,42.8,93.45,76.46,35,91,6.46,overcast clouds
239,Talnakh,RU,69.4865,88.3972,56.21,61,93,3.87,overcast clouds
240,Cuencame,MX,24.8711,-103.6964,91.74,16,21,12.5,few clouds
241,Culpeper,US,38.5004,-77.9664,85.6,80,0,5.75,clear sky
242,Marrakesh,MA,31.6315,-8.0083,87.87,42,40,9.22,scattered clouds
243,Brewster,US,41.3973,-73.6171,78.55,95,75,9.22,moderate rain
244,Moshenskoye,RU,58.5102,34.5911,48.43,97,6,4.81,clear sky
245,Havoysund,NO,70.9963,24.6622,53.83,97,96,7.58,overcast clouds
246,Zermatt,CH,46.0213,7.7491,65.7,87,5,5.5,clear sky
247,Sao Paulo De Olivenca,BR,-3.3783,-68.8725,77.04,91,95,2.42,overcast clouds
248,Marsa Matruh,EG,31.3525,27.2453,76.98,77,0,12.88,clear sky
249,Walvis Bay,NA,-22.9575,14.5053,55.09,87,1,2.3,clear sky
250,Penzance,GB,50.1186,-5.5371,70.48,59,52,13.73,broken clouds
